Date,Adj Close,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
2022-07-05,233.07,233.07,233.15,216.17,223.0,84581100
2022-07-06,231.73,231.73,234.56,227.19,230.78,71853600
2022-07-07,244.54,244.54,245.36,232.21,233.92,81930600
2022-07-08,250.76,250.76,254.98,241.16,242.33,101854200
2022-07-11,234.34,234.34,253.06,233.63,252.1,99241200
2022-07-12,233.07,233.07,239.77,228.37,236.85,87930900
2022-07-13,237.04,237.04,242.06,225.03,225.5,97954500
2022-07-14,238.31,238.31,238.65,229.33,234.9,78557400
